"","DISTRICT","UPAZILLA","UNION","MOUZA","RL","LATITUDE","LONGITUDE","GWL04","GWL05","GWL06","GWL07","GWL08","GWL09","GWL10","GWL11","GWL12","GWL13","GWL14","GWL15","GWL16","GWL17","GWL18","Type","Median","Aspect","Curvature","Drainage_density","Elevation","Distance_from_stream","lithology","Plan_curvature","Profile_curvature","Slope","SPI","STI","TWI","TRI","SoilSy","FID"
"4932","Bogra","Bogra sadar","Rajapur",NA,NA,24.918,89.4,NA,5.4864,NA,NA,5.7912,5.1816,6.7056,6.7056,6.398362,6.4008,6.7056,NA,NA,6.4008,NA,"DPHE",6.4008,-1,0,0.0812985,19,840.536,16,0,0,0,5.02629469918496,0.85913136910474,13.6796908348217,0,0.0608849,5394
"4933","Sunamganj","Dharmapasha","Madhyanagar",NA,NA,24.918,91.045,NA,5.7912,NA,NA,5.7912,5.7912,NA,5.7912,7.62,NA,NA,NA,NA,NA,NA,"DPHE",5.7912,90,-0.108158,0.163493,8,2133.38,5,0,0.108158,0.942067,4.40492222163787,3.05219330066361,8.37062643507017,8.94427,0.0288505,5395
"4934","Jamalpur","Madarganj","Gunaritala",NA,NA,24.918,89.752,NA,NA,NA,NA,6.096,5.4864,NA,5.7912,5.663184,5.1816,5.4864,NA,NA,5.4864,NA,"DPHE",5.4864,135,-0.216315,0.129346,20,4009.8,6,-0.162236,0.0540788,0.666172,4.68510339219874,2.91172034849298,9.26596793202716,16.2481,0.11639,5396
"4935","Bogra","Kahaloo","Paikar","Panchkhur",16.3833,24.91856,89.27003,8.65,NA,NA,NA,NA,NA,8.4,8.91,9.05,9.17,NA,NA,NA,10.9862,NA,"BADC",8.98,14.0362,-0.324473,0.0937814,21,2670.17,3,-0.129789,0.194684,1.94155,4.85459481575649,6.39825244754889,7.47497980117138,13.5647,0.0231913,5397
"4936","Naogaon","Badalgachhi","Bilasbari","Haludbihar",21.4,24.9188,88.96913,8.38,NA,NA,NA,NA,NA,9.13,9.75,9.5,9.8,NA,NA,NA,9.05062,NA,"BADC",9.315,135,0,0.127015,18,1379.02,6,0,0,0.333097,3.70915275617545,1.08753420292016,9.43094779014466,10.8167,0.059149,5398
"4937","Netrakona","Netrakona","S.bishiura",NA,NA,24.919,90.794,NA,NA,NA,NA,9.4488,9.7536,NA,NA,12.3444,NA,15.8496,NA,NA,NA,NA,"DPHE",11.049,-1,0,0.113986,11,6337.46,5,0,0,0,2.24334318990963,0.161766014681109,10.8967393255464,8.66025,0.042552,5400
"4938","Netrakona","Netrakona","K.Gati",NA,NA,24.919,90.718,NA,NA,NA,NA,10.0584,10.0584,NA,8.5344,12.444984,NA,15.8496,NA,NA,NA,NA,"DPHE",10.0584,299.055,0,0.136962,12,4728.69,6,0.135197,0.135197,2.42357,3.68048929923199,3.66804142632519,5.87672019765982,10.198,0.0471934,5401
"4939","Jamalpur","Jamalpur Sadar","Pourashava",NA,17.8,24.91973,89.92603,9.29,NA,NA,NA,NA,NA,11.35,NA,NA,NA,NA,NA,NA,6.94154,NA,"BADC",9.29,-1,0,0.103132,20,2958.46,6,0,0,0,3.01653307814311,0.25725424351615,11.6699292137799,13.2665,0.110484,5402
"4940","Mymensingh","Fulpur","Kamargaon",NA,NA,24.92,90.507,NA,8.2296,NA,NA,9.144,9.4488,NA,9.4488,11.5824,11.8872,11.2776,NA,NA,NA,9.4488,"DPHE",9.4488,161.565,-0.108158,0.13662,17,607.454,6,0,0.108158,0.744795,3.27872616422179,1.34082191134736,7.66420322849252,13.8564,0.0646475,5404
"4941","Bogra","Bogra sadar","Ghotapara",NA,NA,24.92,89.348,NA,NA,NA,NA,9.4488,9.144,9.144,9.144,NA,NA,NA,NA,NA,NA,NA,"DPHE",9.144,296.565,-0.43263,0.0894793,20,5254.37,6,-0.216315,0.216315,1.05324,5.19946331956426,5.27781675142679,8.96240448404692,15,0.044704,5405
"4942",NA,NA,NA,"RJ060",NA,24.92,88.96,5.825,6.56,7.19,7.14,7.015,7.39,7.39,7.84,7.84,7.44,8.14,6.665,7.115,6.99,6.94,"BWDB",7.14,-1,0,0.139302,18,2155.2,6,0,0,0,6.39438309580828,1.9523223289304,15.0477792314451,8.7178,0.0645281,5406
"4943","Bogra","Sariakandi","Hatsherpur",NA,NA,24.92,89.628,NA,6.7056,NA,NA,6.096,5.4864,5.4864,5.4864,6.928226,6.4008,6.096,NA,NA,6.4008,NA,"DPHE",6.096,-1,0,0.172766,19,210,4,0,0,0,1.55019600934969,0.106725768032964,10.2035921449865,28.9828,0.111107,5407
"4944","Sylhet","Sylhet Sadar","Jalalabad",NA,NA,24.92,91.753,NA,3.9624,5.7912,NA,5.800283,6.020294,NA,NA,6.468344,NA,6.7056,NA,NA,6.096,13.13688,"DPHE",6.058147,90,-0.216315,0.0941388,13,4479.25,5,0,0.216315,1.88363,4.13264312514325,4.06631387524597,6.81061344434884,9,0.0293014,5408
"4945",NA,NA,NA,"JA016",NA,24.92,89.78,5.665,5.77,6.11,5.98,5.715,5.315,6.29,6.04,5.98,5.8,NA,5.065,5.54,5.515,4.99,"BWDB",5.7425,336.801,-0.324473,0.0953208,19,1950,6,-0.108158,0.216315,1.79322,5.18457038828588,7.39854363304156,7.95587514943398,14.6629,0.11689,5409
"4946",NA,NA,NA,"SY074",NA,24.92,91.69,4.72,4.9,5.15,5.4,5.4,5.6,5.75,5.935,5.4,6.45,6.6,NA,NA,5.64,6.52,"BWDB",5.6,-1,0,0.119636,12,2457.99,16,0,0,0,2.84947899347995,0.232719163438931,11.5028751291167,7.2111,0.0267729,5410
"4947","Bogra","Bogra Sadar","Noongola","Shashi Badani",18.1875,24.92015,89.3151,8.43,NA,NA,NA,NA,NA,7.538,8.2,7.8,7.61,NA,NA,NA,11.7312,NA,"BADC",8,180,0.108158,0.117684,24,6046.69,6,0,-0.108158,1.41294,4.55474939674899,4.33446421615848,7.77463434673628,16.6132,0.0332223,5411
"4948","Sherpur","Nakla","Chandrakona","Basur Alga",16.84,24.92106,90.13937,6.27,NA,NA,NA,NA,NA,6.27,5.41,5.94,6.42,NA,NA,NA,6.55912,NA,"BADC",6.27,116.565,-0.108158,0.114014,18,1047.85,6,0,0.108158,1.05324,2.89687822657021,1.32572762859029,6.65981939105287,10.8167,0.0905897,5412
"4949","Sylhet","Sylhet Sadar","Tukar Bazar",NA,NA,24.922,92.44,NA,6.478341,6.7056,NA,6.600322,6.690326,NA,NA,6.59831,NA,6.7056,NA,NA,10.3632,NA,"DPHE",6.690326,45,0,0.00876419,17,10050.3,7,0,0,0.333097,5.92472647217986,4.10931835360843,11.6465215061491,8.48528,0.0456014,5413
