"","DISTRICT","UPAZILLA","UNION","MOUZA","RL","LATITUDE","LONGITUDE","GWL04","GWL05","GWL06","GWL07","GWL08","GWL09","GWL10","GWL11","GWL12","GWL13","GWL14","GWL15","GWL16","GWL17","GWL18","Type","Median","Aspect","Curvature","Drainage_density","Elevation","Distance_from_stream","lithology","Plan_curvature","Profile_curvature","Slope","SPI","STI","TWI","TRI","SoilSy","FID"
"1","Cox's Bazar","Teknaf","St. Martin",NA,NA,20.65,92.37,NA,NA,2.7432,NA,3.3528,3.6576,NA,NA,3.724656,3.9624,NA,NA,NA,2.4384,NA,"DPHE",3.5052,0,0,0,0,0,0,0,0,0,0.451583720681576,0.0552073035815575,9.10497985631836,0,0,1
"2","Cox's Bazar","Teknaf","Sabrang",NA,NA,20.825,92.32,NA,NA,3.9624,NA,4.2672,5.7912,NA,NA,6.041136,6.096,NA,NA,NA,4.572,NA,"DPHE",5.1816,63.4349,-0.324473,0,2,1575.5,15,-0.173052,0.151421,1.05324,6.03237244249936,8.69943422484639,9.79531360698202,0,0.0474476,2
"3","Cox's Bazar","Teknaf","Teknaf",NA,NA,20.855,92.292,NA,NA,6.4008,NA,7.62,7.9248,NA,NA,8.2296,8.2296,NA,NA,NA,5.4864,NA,"DPHE",7.7724,275.194,-0.108158,0,8,3454.1,15,0,0.108158,2.59982,4.44124058828765,6.06933526003283,6.50235683976296,0,0.0474655,3
"4",NA,NA,NA,"CT005",NA,20.9,92.25,5.7,5.275,5.615,5.7,5.015,5.335,NA,4.69,5.98,NA,NA,NA,NA,NA,NA,"BWDB",5.475,203.629,-0.757103,0,20,1613.1,15,-0.26669,0.490413,8.17114,7.646509315277,90.2280356800472,7.46221113838653,0,0.0476833,4
"5",NA,NA,NA,"CT053",NA,20.96,92.24,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BWDB",2.07,350.538,0.973418,0,26,3642.2,15,0.410253,-0.563165,5.71189,4.51751167150769,10.8303100595041,5.04248894415464,54.7083,0.0474986,5
"6",NA,NA,NA,"CT031",NA,21.02,92.22,1.045,1.165,1.095,1.93,0.83,1.01,1.615,1.02,0.12,0.58,1.41,1.065,1.35,1.365,NA,"BWDB",1.08,97.5946,-0.540788,0,22,3754.4,2,-0.367327,0.17346,7.09223,7.21734755646413,63.3789019976047,7.31430013647659,40.9878,0.0475219,6
"7","Cox's Bazar","Teknaf","Nhila",NA,NA,21.05,92.255,NA,NA,4.8768,NA,5.1816,5.7912,NA,NA,6.041136,5.1816,NA,NA,NA,5.7912,NA,"DPHE",5.4864,116.565,-0.108158,0,0,1211.3,15,0,0.108158,1.05324,2.89687822657021,1.32572762859029,6.65981939105287,5,0,7
"8","Cox's Bazar","Teknaf","Bahar chhar",NA,NA,21.06,92.169,NA,NA,3.3528,NA,3.9624,4.8768,NA,NA,5.1816,5.1816,NA,NA,NA,3.3528,NA,"DPHE",4.4196,153.435,-0.108158,0,26,2478.4,15,0,0.108158,1.05324,7.0240126116153,15.7720926982029,10.786953776098,31.225,0.0475146,8
"9","Cox's Bazar","Ukhiya","Whyekong",NA,NA,21.116,92.17,NA,NA,3.9624,NA,8.5344,7.9248,NA,NA,5.7912,4.2672,NA,NA,NA,NA,NA,"DPHE",5.7912,14.0362,0.216315,0,11,3515.05,23,0,-0.216315,1.94155,3.4683004546366,2.78500113616224,6.08868544005149,23.4734,0.0475461,9
"10","Cox's Bazar","Ukhiya","Palong Khali",NA,NA,21.165,92.151,NA,NA,5.4864,NA,5.1816,4.2672,NA,NA,4.2672,3.9624,NA,NA,NA,10.668,NA,"DPHE",4.7244,9.46232,0.216315,0.00140326,11,2765.08,23,0.108158,-0.108158,2.86306,3.84128235883919,4.51863977544739,5.71617224519103,14.4222,0.0475502,10
"11","Cox's Bazar","Ukhiya","Raja Palong",NA,NA,21.24,92.112,NA,NA,4.8768,NA,4.8768,6.096,NA,NA,6.096,6.096,NA,NA,NA,9.144,NA,"DPHE",6.096,285.255,0.108158,0.00631613,16,6174.83,23,0,-0.108158,2.68358,4.87730514705958,8.05438310234519,6.87726918297004,19.4936,0.0475515,11
"12","Cox's Bazar","Chagalnaiya","Ratna Palong",NA,NA,21.262,92.137,NA,NA,7.3152,NA,6.096,6.7056,NA,NA,6.7056,6.4008,NA,NA,NA,NA,NA,"DPHE",6.7056,135,0.216315,0.00631613,13,6241.87,22,0.108158,-0.108158,0.666172,2.48787881486252,0.779119646652767,7.06874335469094,12.9615,0.04758,12
"13","Bandarban","Naikhongchhari","Ghumghum",NA,NA,21.28,92.235,NA,4.572,4.572,NA,4.572,4.572,NA,NA,4.315968,NA,4.572,NA,NA,4.2672,NA,"DPHE",4.572,178.603,1.18973,0.00945142,67,10383.5,23,0.598047,-0.591685,9.56993,5.03274715873959,20.9104961250973,4.53337369276845,96.871,0.0476449,13
"14","Cox's Bazar","Ukhiya","Holudia Palong",NA,NA,21.296,92.122,NA,NA,8.5344,NA,7.3152,8.2296,NA,NA,6.7056,5.7912,NA,NA,NA,13.716,NA,"DPHE",7.7724,45,0,0.0139953,13,3950.56,22,0,0,0.999202,4.45831286740592,3.27148516293324,8.31724821376902,17.8885,0.0475978,14
"15","Cox'S Bazar","Ramu","Khuniapalong","Dhechua Palong",866.5425,21.32628,92.08304,8.63,NA,NA,NA,NA,NA,2.35,2.5,2.75,2.9,NA,NA,NA,3.68279,NA,"BADC",2.825,333.435,-0.108158,0.0277609,9,3488.27,23,0,0.108158,1.05324,6.65807834226378,12.6629642436541,10.4210195067464,15,0.0475741,15
"16","Cox'S Bazar","Ramu","Khuniapalong","Dhechua Palong",866.5425,21.32628,92.08304,8.12,NA,NA,NA,NA,NA,2.35,2.5,2.75,2.9,NA,NA,NA,4.10797,NA,"BADC",2.825,333.435,-0.108158,0.0277609,9,3488.27,23,0,0.108158,1.05324,6.65807834226378,12.6629642436541,10.4210195067464,15,0.0475741,16
"17","Cox'S Bazar","Ramu","Khuniapalong","Dhechua Palong",866.5425,21.32628,92.08304,8.92,NA,NA,NA,NA,NA,2.35,2.5,2.75,2.9,NA,NA,NA,4.28692,NA,"BADC",2.825,333.435,-0.108158,0.0277609,9,3488.27,23,0,0.108158,1.05324,6.65807834226378,12.6629642436541,10.4210195067464,15,0.0475741,17
"18","Cox's Bazar","Ramu","Rajar Kul",NA,NA,21.383,92.118,NA,NA,4.2672,NA,3.9624,5.1816,NA,NA,3.224784,NA,5.7912,NA,NA,5.7912,NA,"DPHE",4.7244,90,0,0.0534219,27,5287.92,26,0,0,0.471065,3.58024303320302,1.2215596427623,8.74894136487255,24.0832,0.0476198,19
"19",NA,NA,NA,"CT030",NA,21.39,92.08,4.975,5.16,6.895,5.79,8.425,6.16,5.275,7.34,5.19,4.84,4.86,4.235,NA,3.535,NA,"BWDB",5.19,296.565,0.216315,0.0636127,21,5920.35,26,0.0540788,-0.162236,2.10577,3.5457386541843,3.07953857504538,6.01131810903464,25.5147,0.0475748,20
"20","Cox's Bazar","Ramu","Fatekhir Kul",NA,NA,21.412,92.12,NA,NA,3.9624,NA,3.9624,4.8768,NA,NA,NA,NA,5.7912,NA,NA,4.8768,NA,"DPHE",4.8768,225,0.108158,0.0705358,19,2087.53,17,0.0158279,-0.0923296,5.64439,4.50574999567047,10.6676253661785,5.05417103694735,20.8567,0.0476463,21
"21","Cox's Bazar","Kutubdia","Zilanja",NA,NA,21.419,92.005,NA,2.4384,3.6576,NA,3.3528,3.6576,NA,NA,3.685032,NA,3.9624,NA,NA,3.9624,NA,"DPHE",3.6576,62.7447,0.973418,0.068242,40,6953.01,15,0.326137,-0.647281,8.67657,4.9341179505677,18.4548046921476,4.63030909259727,41.3642,0.047469,23
"22",NA,NA,NA,"CT001",NA,21.42,92.04,3.33,3.5,3.73,3.47,3.54,3.37,3.815,3.62,3.37,3.68,3.785,NA,NA,3.665,4.12,"BWDB",3.62,-1,0,0.0756357,5,4015.3,23,0,0,0,0.451583720681576,0.0552073035815575,9.10497985631836,6.245,0.047535,24
"23",NA,NA,NA,"CT033",NA,21.42,92.1,1.86,2.03,2.84,2.13,2.14,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BWDB",2.08,161.565,-0.108158,0.0780084,4,2299.65,17,0,0.108158,0.744795,7.22996988280321,14.3540053791406,11.6154469470739,8.06226,0.0476139,25
"24","Cox'S Bazar","Ramu","Fatekharkul","Fatekharkul",351.0875,21.42844,92.09883,13,NA,NA,NA,NA,NA,2.49,2.55,2.68,2.85,NA,NA,NA,3.94396,NA,"BADC",2.765,191.31,-0.324473,0.0892687,4,1380,17,-0.216315,0.108158,1.20084,6.92937285700658,16.2114315828816,10.4514075591063,9.16515,0.0476139,26
"25","Cox'S Bazar","Cox'S Bazar Sadar","Jhilwanja","Jhilwanja",806.6504,21.42917,92.00206,6.5,NA,NA,NA,NA,NA,6.66,6.05,6.25,6.35,NA,NA,NA,4.07657,NA,"BADC",6.3,32.0054,-0.43263,0.0675605,12,6783.25,2,-0.389367,0.043263,4.43524,7.26386963222423,47.3811381256291,8.28624903299155,27.55,0.047469,27
"26","Cox's Bazar","Ramu","Mitha Churi",NA,NA,21.434,92.115,NA,NA,5.4864,NA,4.8768,5.1816,NA,NA,5.614416,NA,6.4008,NA,NA,6.4008,NA,"DPHE",5.550408,0,0.324473,0.081473,7,324.5,17,0.216315,-0.108158,0.471065,2.19394867208312,0.531714717553265,7.36264700375266,8,0.0476422,28
"27","Cox's Bazar","Cox's bazar","P M Khali",NA,NA,21.44,92.039,NA,3.048,3.048,NA,4.572,4.8768,NA,NA,4.578096,NA,4.572,NA,NA,4.8768,NA,"DPHE",4.572,-1,0,0.0792977,4,2770.74,17,0,0,0,4.00693178217099,0.466055204958081,12.6603279178078,8.48528,0.0475423,29
"28","Bandarban","Naikhongchhari","Nakhyangchari",NA,NA,21.445,92.3,NA,4.8768,4.8768,NA,4.8768,4.8768,NA,NA,3.6576,NA,3.9624,NA,NA,4.2672,NA,"DPHE",4.8768,63.4349,1.18973,0.0431191,53,6403.79,23,0.475893,-0.71384,5.25203,4.43455817262615,9.73306530138117,5.12491883513293,59.4643,0.047724,30
"29","Cox's Bazar","Ramu","Kachapia",NA,NA,21.454,92.217,NA,NA,3.9624,NA,4.2672,4.572,NA,NA,5.004816,NA,5.7912,NA,NA,5.4864,NA,"DPHE",4.788408,116.565,-0.216315,0.0424276,17,573.149,19,0.043263,0.259578,4.20586,4.90917692865483,11.1265663132801,6.03556505824351,20.4939,0.0477202,31
"30","Cox's Bazar","Cox's bazar","Khurashkul",NA,NA,21.457,91.99,NA,5.4864,5.7912,NA,2.4384,2.7432,NA,NA,2.755392,NA,2.7432,NA,NA,3.048,NA,"DPHE",2.755392,273.366,0.757103,0.0750879,13,3863.95,2,0.43263,-0.324473,4.00453,4.16797173829204,6.89852597102217,5.3903035214938,13.6748,0.047482,33
"31",NA,NA,NA,"CT007",NA,21.46,92.08,3.535,NA,NA,NA,1.025,0.74,1.165,1.14,1.09,NA,NA,1.355,NA,NA,NA,"BWDB",1.14,243.435,-0.108158,0.0976394,3,1514.63,2,0,0.108158,1.05324,3.59002540713016,2.00942732933485,7.35296657161282,7.4162,0.047605,34
"32","Cox'S Bazar","Cox'S Bazar Sadar","Patali Machhuakhali","Patali Machhuakhali",296.6546,21.46759,92.05296,12.5,NA,NA,NA,NA,NA,5.65,6,6.21,6.55,NA,NA,NA,4.76786,NA,"BADC",6.105,225,0,0.0952822,3,890.955,2,0,0,0.333097,4.75060663100361,2.03152198683719,10.4724016649728,10.583,0.0475786,35
"33","Cox'S Bazar","Cox'S Bazar Sadar","Patali Machhuakhali","Patali Machhuakhali",296.6546,21.46759,92.05296,13,NA,NA,NA,NA,NA,5.65,6,6.21,6.55,NA,NA,NA,4.46907,NA,"BADC",6.105,225,0,0.0952822,3,890.955,2,0,0,0.333097,4.75060663100361,2.03152198683719,10.4724016649728,10.583,0.0475786,36
"34",NA,NA,NA,"CT052",NA,21.47,91.99,4.17,3.845,3.08,3.02,3.895,3.14,3.44,3.965,NA,NA,NA,NA,NA,NA,2.72,"BWDB",3.44,0,0.324473,0.0798645,12,2715.29,15,0.216315,-0.108158,0.942067,2.79548430920377,1.1620639597061,6.76118852263607,12.3693,0.0474884,37
"35","Cox's Bazar","Cox's bazar","Baruakhali",NA,NA,21.489,92.03,NA,6.096,NA,NA,6.096,5.7912,NA,NA,NA,NA,4.572,NA,NA,5.4864,6.7056,"DPHE",5.9436,108.435,-0.108158,0.0971847,3,630.714,2,0,0.108158,1.48934,3.91089034865424,3.0487672572768,7.03222310816724,6.32456,0.0475633,39
"36",NA,NA,NA,"CT002",NA,21.51,92.01,1.855,2.015,2.21,2.12,2.17,2.175,2.24,2.65,1.82,2.09,NA,3.48,NA,NA,NA,"BWDB",2.17,341.565,0.108158,0.0999748,2,67.082,15,0.216315,0.108158,1.48934,3.2177431680943,2.01143625704105,6.3390759276073,8,0.0475372,40
"37","Cox's Bazar","Moheshkhali","Gorokghata",NA,NA,21.516,91.961,NA,2.4384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPHE",2.4384,303.69,0.324473,0.0872293,8,1506.29,2,0.086526,-0.237947,1.69799,3.34116550051426,2.36117192263948,6.21572538902561,10.9087,0.0474176,41
"38","Cox's Bazar","Cox's bazar","Chowfal Dandi",NA,NA,21.52,92.025,NA,6.096,6.4008,NA,5.1816,5.1816,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPHE",5.6388,282.995,-0.108158,0.105171,4,553.173,15,0.101795,0.209953,3.13932,4.6237446753507,7.68960485095152,6.32017851265039,8.48528,0.0475372,42
"39","Cox's Bazar","Moheshkhali","Bara Moiskhali",NA,NA,21.533,91.929,NA,3.048,3.048,3.048,2.4384,2.4384,NA,NA,2.3622,NA,2.1336,NA,NA,NA,NA,"DPHE",2.4384,341.565,-0.108158,0.0788769,3,5199.36,15,0,0.108158,0.744795,8.14240704536138,24.8160673719845,12.5278841096321,8.48528,0.0473231,43
"40","Cox's Bazar","Cox's bazar","Idgaon",NA,NA,21.54,92.065,NA,4.2672,4.572,NA,5.1816,5.4864,NA,NA,5.504688,NA,4.8768,NA,NA,5.4864,NA,"DPHE",5.1816,335.556,-0.216315,0.111516,10,510,2,0.118973,0.335288,5.67342,5.20397218733587,16.2750438591655,5.7422773179834,18.7617,0.0476321,45
"41","Cox's Bazar","Ramu","Idd Ghar",NA,NA,21.554,92.141,NA,NA,3.9624,NA,3.9624,5.1816,NA,NA,4.700016,NA,5.1816,NA,NA,4.8768,NA,"DPHE",4.788408,138.094,1.29789,0.11174,50,3552.94,25,0.495008,-0.802882,12.157,5.27568465551189,28.3519819401414,4.29629756096528,49.0714,0.0477069,46
"42","Cox's Bazar","Moheshkhali","Hoanak",NA,NA,21.561,91.917,NA,1.2192,1.2192,1.2192,3.048,3.048,NA,2.7432,2.843784,NA,2.7432,NA,NA,NA,NA,"DPHE",2.7432,218.66,-0.540788,0.0796935,3,7410,15,-0.149757,0.391031,3.01358,4.9895383143951,9.31600492751894,6.76523386243618,6.32456,0.0473258,47
"43","Cox's Bazar","Cox's bazar","Pokkhali",NA,NA,21.566,92.034,NA,5.4864,5.7912,NA,5.1816,5.1816,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPHE",5.334,23.1986,-0.108158,0.103925,3,3648.92,2,-0.0216315,0.086526,1.79322,4.08595809961777,3.82713239678507,6.85726286076587,6.7082,0.0475896,48
"44","Bandarban","Naikhongchhari","Baishari",NA,NA,21.575,92.27,NA,4.572,4.572,NA,4.572,4.572,NA,NA,3.048,NA,3.3528,NA,NA,4.572,NA,"DPHE",4.572,286.113,0.216315,0.0851606,149,7276.9,23,-0.119817,-0.336132,10.8992,7.36160610996833,92.223094887685,6.60179679777964,117.473,0.0477143,49
"45","Cox's Bazar","Moheshkhali","K M Chhara",NA,NA,21.601,91.926,NA,2.7432,2.7432,2.7432,2.7432,2.7432,NA,2.1336,2.791968,NA,2.7432,NA,NA,NA,NA,"DPHE",2.7432,248.962,0,0.0868895,16,6480,15,-0.00540788,-0.00540788,3.27709,4.66548833757482,8.11695814002864,6.2785275519624,35.8887,0.0473333,50
"46","Cox's Bazar","Chakaria","Kutakhali",NA,NA,21.605,92.07,NA,NA,3.048,NA,3.3528,NA,NA,3.3528,3.5814,3.6576,3.6576,NA,NA,3.9624,NA,"DPHE",3.5814,236.31,0.216315,0.0956631,25,4230.43,2,0.0540788,-0.162236,1.69799,3.34116550051426,2.36117192263948,6.21572538902561,23.0868,0.047655,51
"47","Cox's Bazar","Pekua","ujantia",NA,NA,21.615,91.97,NA,0.9144,0.9144,0.9144,3.048,1.524,NA,1.2192,NA,NA,0.9144,NA,NA,NA,NA,"DPHE",0.9144,346.608,-0.540788,0.0995748,18,1920,23,0,0.540788,5.07128,12.4526234038847,1167.4311186276,13.2118893420579,40.1497,0.0474885,52
"48","Cox's Bazar","Moheshkhali","Dhal Ghat",NA,NA,21.63,91.91,NA,1.8288,1.8288,1.8288,2.1336,2.1336,NA,1.8288,NA,NA,1.524,NA,NA,NA,NA,"DPHE",1.8288,-1,0,0.0706365,3,6690.07,15,0,0,0,1.83787808180147,0.126833077615914,10.4912742174382,6.32456,0.047273,53
"49","Bandarban","Alikadam","Alikadam",NA,NA,21.665,92.38,NA,8.8392,11.2776,NA,10.9728,10.9728,10.668,NA,11.43,10.668,10.9728,NA,NA,7.62,NA,"DPHE",10.9728,190.222,0.324473,0.120326,132,1328.16,18,0.138879,-0.185593,14.2953,5.44242650517648,34.8121943693459,4.13549299890769,114.748,0.0475762,54
"50","Cox's Bazar","Chakaria","Dulahajara",NA,NA,21.67,92.06,NA,NA,2.7432,NA,3.048,NA,NA,3.3528,4.1148,3.9624,3.9624,NA,NA,3.9624,NA,"DPHE",3.9624,156.801,0.324473,0.114461,7,1026.16,5,0.194684,-0.129789,1.79322,3.39281091905783,2.52496573656656,6.16411568020592,11.8322,0.0476457,55
"51","Cox's Bazar","Moheshkhali","Matar Bari",NA,NA,21.677,91.91,NA,2.1336,2.1336,2.1336,2.7432,2.7432,NA,2.1336,1.6002,NA,1.524,NA,NA,NA,NA,"DPHE",2.1336,-1,0,0.0637836,4,4652.42,18,0,0,0,1.83787808180147,0.126833077615914,10.4912742174382,6.9282,0.0472747,56
"52","Cox's Bazar","Chakaria","Badarkhali",NA,NA,21.695,91.97,NA,NA,3.3528,NA,3.3528,NA,NA,3.6576,4.1148,NA,NA,NA,NA,NA,6.7056,"DPHE",3.6576,345.964,-0.216315,0.0850956,4,1839.81,22,0,0.216315,1.94155,5.54774199631644,9.69793723146555,8.16812698173132,6.9282,0.0475153,57
"53","Cox's Bazar","Chakaria","Porchim Bara Behula",NA,NA,21.705,92.02,NA,NA,3.048,NA,3.3528,NA,NA,3.6576,NA,3.9624,3.9624,NA,NA,4.2672,NA,"DPHE",3.81,45,0,0.0961097,4,5736.91,2,0,0,0.333097,3.30368764806728,0.852684108221664,9.02548268203649,6.9282,0.0475966,58
"54","Cox's Bazar","Chakaria","Fasiakhali",NA,NA,21.72,92.07,NA,NA,3.048,NA,3.048,NA,NA,3.3528,4.163568,3.9624,3.9624,NA,NA,3.9624,NA,"DPHE",3.9624,-1,0,0.105683,5,4203.53,2,0,0,0,4.08916988040796,0.489628505551589,12.7425660160447,8.66025,0.0476756,59
"55",NA,NA,NA,"CT008",NA,21.72,92.04,1.07,NA,0.62,1.64,0.665,2.045,0.805,NA,1.92,1.22,1.27,1.005,1.01,NA,1.2,"BWDB",1.135,54.4623,-0.324473,0.0955003,5,6034.1,5,-0.108158,0.216315,2.02533,4.60716597379934,5.6727595994721,7.14707996755528,10.247,0.0476323,60
"56","Cox's Bazar","Chakaria","Behula Manikchar",NA,NA,21.725,91.99,NA,NA,2.7432,NA,3.3528,NA,NA,3.6576,4.1148,4.2672,4.2672,NA,NA,4.2672,NA,"DPHE",4.1148,0,-0.43263,0.0856595,4,4641.86,2,-0.216315,0.216315,1.41294,4.26706732429721,3.64730582255358,7.4869522742845,6.9282,0.0475644,61
"57","Bandarban","Lama","Fashiya Khali",NA,NA,21.728,92.16,NA,8.8392,9.4488,9.7536,9.4488,9.7536,NA,9.7536,7.516368,NA,9.144,NA,NA,12.4968,NA,"DPHE",9.4488,-1,0,0.100329,14,2283.55,19,0,0,0,2.24334318990963,0.161766014681109,10.8967393255464,18.2483,0.047696,62
"58","Cox's Bazar","Chakaria","Chiringa",NA,NA,21.742,92.03,NA,NA,3.048,NA,3.3528,NA,NA,3.6576,3.224784,4.572,3.6576,NA,NA,3.9624,NA,"DPHE",3.6576,233.13,0.324473,0.0895833,10,4857.59,2,0.232955,-0.0915179,2.35405,3.65251928655222,3.53730589984228,5.90465504234503,10.9087,0.047636,63
"59","Cox's Bazar","Chakaria","Kakra",NA,NA,21.755,92.1,NA,NA,2.7432,NA,3.3528,NA,NA,3.6576,3.81,3.9624,3.9624,NA,NA,4.2672,NA,"DPHE",3.81,198.435,-0.108158,0.0971123,9,750,17,0,0.108158,0.744795,4.78280356099806,3.30596770475101,9.16828062526879,10.7238,0.0476853,65
"60","Cox's Bazar","Chakaria","Lakurchar",NA,NA,21.765,92.045,NA,NA,3.048,NA,3.3528,NA,NA,3.6576,4.215384,3.9624,4.572,NA,NA,4.572,NA,"DPHE",3.9624,251.565,-0.108158,0.0931354,6,2040.88,2,0,0.108158,0.744795,6.71271336870693,10.5241763007933,11.0981904329777,10.3923,0.0476607,66
"61",NA,NA,NA,"CT009",NA,21.78,92.01,1.985,0.78,2.33,0.52,2.03,2.225,2.505,2.46,1.73,0.73,2.71,1.87,2.08,1.095,0.97,"BWDB",1.985,168.69,-0.108158,0.0760008,4,1908.01,2,0,0.108158,1.20084,4.40364421269832,3.56184781749207,7.92567891479807,6.9282,0.0476143,67
"62","Cox's Bazar","Kutubdia","Ali Akbar Deil",NA,NA,21.782,91.852,NA,NA,3.048,3.048,3.048,2.7432,NA,3.048,NA,NA,1.8288,NA,NA,2.4384,NA,"DPHE",3.048,90,-0.216315,0.0255025,6,9627.9,2,0,0.216315,1.88363,4.13264312514325,4.06631387524597,6.81061344434884,10.247,0.0469904,68
"63","Cox's Bazar","Pekua","Mognama",NA,NA,21.788,91.92,NA,NA,3.3528,NA,2.1336,NA,NA,3.3528,NA,NA,NA,NA,NA,NA,NA,"DPHE",3.3528,23.1986,0,0.0418197,5,3046.59,15,0,0,1.79322,3.39281091905783,2.52496573656656,6.16411568020592,7.4162,0.047358,69
"64","Cox's Bazar","Chakaria","Kayerbil",NA,NA,21.79,92.025,NA,NA,3.048,NA,3.3528,NA,NA,3.6576,3.910584,3.9624,3.9624,NA,NA,3.9624,NA,"DPHE",3.910584,-1,0,0.0742452,5,1152.56,2,0,0,0,2.39749386973689,0.177441565315497,11.0508900053737,3.31662,0.0476175,70
"65","Cox's Bazar","Kutubdia","Bara Ghope",NA,NA,21.8,91.856,NA,NA,3.048,3.048,3.048,3.048,NA,3.048,NA,NA,NA,NA,NA,NA,NA,"DPHE",3.048,206.565,-0.108158,0.0245341,5,9722.27,2,0,0.108158,1.05324,5.46182758403175,6.17760760037166,9.22476874851441,10.9087,0.0469795,71
"66","Cox's Bazar","Pekua","Pekua",NA,NA,21.805,91.965,NA,NA,3.3528,NA,2.7432,NA,NA,3.048,NA,NA,NA,NA,NA,NA,NA,"DPHE",3.048,-1,0,0.0479039,4,1710,2,0,0,0,3.34195547857774,0.312723155061689,11.9953516142145,5.74456,0.0474899,72
"67","Cox's Bazar","Chakaria","Baraitoli+E2942",NA,NA,21.82,92.01,NA,NA,3.3528,NA,3.3528,NA,NA,3.6576,3.529584,3.9624,4.2672,NA,NA,4.2672,NA,"DPHE",3.6576,225,0,0.0542903,4,2310,2,0,0,0.333097,6.9736390922957,7.71066731815242,12.6954341262649,8.06226,0.04762,73
"68","Cox's Bazar","Kutubdia","Kayerbil",NA,NA,21.825,91.859,NA,NA,2.4384,2.4384,2.4384,2.1336,NA,2.7432,2.5908,NA,1.8288,NA,NA,2.1336,NA,"DPHE",2.4384,176.634,-0.216315,0.021929,11,7617.52,2,-0.339032,-0.122717,4.00453,5.26658402696015,13.3361065436755,6.48891581016191,12.6491,0.0470746,74
"69","Patuakhali","Kalapara","Latachapli",NA,NA,21.832,90.137,NA,0.6096,NA,NA,0.6096,0.9144,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPHE",0.6096,-1,0,0.016933,6,6691.88,10,0,0,0,2.53102526236141,0.19224299692394,11.1844213979982,5.2915,0.0304048,75
"70","Bandarban","Lama","Lama",NA,NA,21.84,92.23,NA,8.8392,8.8392,8.8392,8.5344,8.5344,NA,8.5344,7.62,NA,7.62,NA,NA,7.9248,NA,"DPHE",8.5344,181.469,-0.648945,0.0763344,62,4696.22,23,-0.43263,0.216315,9.11141,7.54822803299855,91.5277046939861,7.14690118777385,61.7009,0.0475094,76
"71","Cox's Bazar","Kutubdia","Lemsukhali",NA,NA,21.854,91.863,NA,NA,2.4384,2.4384,2.4384,2.4384,NA,2.4384,2.9718,NA,NA,NA,NA,NA,NA,"DPHE",2.4384,84.8056,0,0.0179277,8,5701.97,2,-0.10275,-0.10275,2.59982,3.74809340772771,4.00426794437309,5.80920965920301,10.3923,0.0470676,77
"72","Cox's Bazar","Chakaria","Harbhang",NA,NA,21.855,92.03,NA,NA,3.048,NA,3.3528,NA,NA,3.6576,3.5052,3.6576,3.9624,NA,NA,4.2672,NA,"DPHE",3.6576,38.5169,-0.540788,0.0601956,37,5574.27,19,-0.140401,0.400387,14.4373,6.14581960126577,53.428511334246,4.81882418365776,46.6369,0.0476399,78
"73","Cox's Bazar","Pekua","Barbakia",NA,NA,21.855,91.97,NA,NA,3.3528,NA,2.1336,NA,NA,3.3528,NA,NA,NA,NA,NA,NA,NA,"DPHE",3.3528,-1,0,0.0358661,4,5284.17,2,0,0,0,5.12441255514348,0.911227467932012,13.7778086907803,5.74456,0.0475557,79
"74","Patuakhali","Kalapara","Khapra Bhanga",NA,NA,21.868,90.14,NA,0.9144,NA,NA,0.9144,0.9144,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPHE",0.9144,90,-0.43263,0.0235038,8,4194.53,10,0,0,0.471065,4.83300600169838,2.59033243070117,10.0017043333679,10.3923,0.03039,80
"75","Cox's Bazar","Kutubdia","Dokkhin Durang",NA,NA,21.873,91.871,NA,NA,2.7432,2.7432,2.7432,2.7432,NA,2.7432,2.234184,NA,NA,NA,NA,NA,NA,"DPHE",2.7432,8.1301,-0.324473,0.0158067,5,4634,2,-0.151421,0.173052,1.66504,4.01580473353077,3.49386754918138,6.92736859086628,4.89898,0.0470603,81
"76",NA,NA,NA,"CH003",NA,21.88,92.13,NA,NA,NA,3.61,3.61,NA,NA,NA,NA,4.11,3.995,3.915,NA,3.74,3.49,"BWDB",3.74,222.797,0.648945,0.0757927,86,5550,23,0.297433,-0.351512,8.60182,4.92543036257117,18.2523092222745,4.63886256413978,83.6182,0.0475852,82
"77","Chittagong","Banshkhali","Chanua",NA,NA,21.892,91.928,NA,3.6576,4.2672,NA,4.572,4.8768,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPHE",4.4196,296.565,0.216315,0.02168,4,2452.3,15,0.108158,-0.108158,1.05324,2.89687822657021,1.32572762859029,6.65981939105287,5.19615,0.047377,83
"78","Bandarban","Lama","Gozalia",NA,NA,21.898,92.156,NA,9.144,9.4488,10.3632,9.4488,9.7536,NA,9.7536,NA,NA,NA,NA,NA,9.7536,NA,"DPHE",9.7536,141.843,-0.324473,0.0586929,54,4467.68,25,-0.0636221,0.260851,8.32812,5.99160311043638,33.859610593686,5.7694333178984,56.3205,0.0475217,84
