"","FID","actual","predicted"
"330",853,1,2
"331",1692,1,2
"332",1743,1,2
"333",1584,1,2
"334",3245,1,2
"335",2740,2,1
"336",1567,1,2
"337",718,1,2
"338",836,1,2
"339",2953,2,1
"340",2764,1,2
"341",2781,1,2
"342",1855,1,2
"343",2624,1,2
"344",858,1,2
"345",1860,1,2
"346",3160,2,1
"347",1805,1,2
"348",2785,1,2
"349",1282,1,2
"350",1341,1,2
"351",706,2,1
"352",1891,2,1
"353",2340,1,2
"354",821,1,2
"355",321,1,2
"356",2080,2,1
"357",804,2,1
"358",2442,1,2
"359",1307,1,2
"360",2918,1,2
"361",2573,1,2
"362",2572,1,2
"363",3241,1,2
"364",2238,1,2
"365",496,1,2
"366",1496,2,1
"367",3325,1,2
"368",1760,1,2
"369",582,1,2
"370",1634,1,2
"371",2540,2,1
"372",2777,2,1
"373",1784,1,2
"374",2663,1,2
"375",2404,1,2
"376",2490,2,1
"377",3533,1,2
"378",909,1,2
"379",841,2,1
"380",193,1,2
"381",135,1,2
"382",288,1,2
"383",2010,1,2
"384",2827,1,2
"385",2789,1,2
"386",1739,1,2
"387",1336,1,2
"388",1711,1,2
"389",368,1,2
"390",3442,1,2
"391",24,1,2
"392",3204,1,2
"393",2599,2,1
"394",1892,2,1
"395",1670,1,2
"396",1753,2,1
"397",3512,1,2
"398",2996,1,2
"399",3139,1,2
"400",3258,1,2
"401",3143,1,2
"402",202,1,2
"403",3410,1,2
"404",1690,1,2
"405",3538,1,2
"406",2475,2,1
"407",1883,2,1
"408",615,2,1
"409",39,1,2
"410",2190,1,2
"411",639,2,1
"412",3521,1,2
"413",1750,2,1
"414",1796,1,2
"415",654,2,1
"416",2470,2,1
"417",2457,2,1
"418",29,1,2
"419",622,1,2
"420",1277,1,2
"421",1889,2,1
"422",2501,1,2
"423",688,1,2
"424",2783,1,2
"425",3181,2,1
"426",3248,1,2
"427",2763,2,1
"428",3301,1,2
"429",3527,1,2
"430",294,1,2
"431",2216,1,2
"432",2447,2,1
"433",2139,1,2
"434",2846,1,2
"435",265,1,2
"436",2752,2,1
"437",3302,1,2
"438",3092,2,1
"439",3225,1,2
"440",3274,1,2
"441",2225,1,2
"442",1745,1,2
"443",2186,1,2
"444",1305,1,2
"445",395,1,2
"446",261,1,2
"447",1684,1,2
"448",281,1,2
"449",874,1,2
"450",2072,2,1
"451",3401,1,2
"452",3243,1,2
"453",1995,1,2
"454",3156,2,1
"455",1691,1,2
"456",3008,1,2
"457",3525,1,2
"458",1618,1,2
"459",424,1,2
"460",814,1,2
"461",2913,2,1
"462",727,2,1
"463",2923,1,2
"464",1343,1,2
"465",2939,1,2
"466",1977,1,2
"467",862,1,2
"468",2057,1,2
"469",2692,2,1
"470",3480,1,2
"471",1980,1,2
"472",3286,1,2
"473",3298,1,2
"474",589,2,1
"475",3419,1,2
"476",3450,1,2
"477",2602,2,1
"478",1376,1,2
"479",283,1,2
"480",2122,2,1
"481",1779,2,1
"482",3556,2,1
"483",849,1,2
"484",2390,1,2
"485",2719,2,1
"486",1214,2,1
"487",3188,2,1
"488",3242,1,2
"489",3568,2,1
"490",2024,1,2
"491",33,1,2
"492",1817,2,1
"493",2751,2,1
"494",19,1,2
"495",1976,1,2
"496",580,2,1
"497",795,1,2
"498",2905,1,2
