"","Feature Size","AUC","AUCPR","Accuracy","Specificity","Sensitivity","F1","MCC","Precision"
"1",4,0.909363717847298,0.805420894184977,0.837779156327543,0.826366559485531,0.861509073543458,0.775247099269446,0.658353828928741,0.7046875
"2",5,0.909584836523542,0.799600882163418,0.843362282878412,0.837390904915021,0.85577841451767,0.78014801915542,0.666213312594699,0.7168
"3",6,0.911019036826354,0.798842321620327,0.843362282878412,0.840146991272393,0.850047755491882,0.778993435448578,0.664544794411731,0.718901453957997
