"","Feature Size","AUC","ÄUCPR","Accuracy","Specificity","Sensitivity","F1","MCC","Precision"
"1",4,0.958418281951758,0.830927989731786,0.886476426799007,0.88929719797887,0.880611270296084,0.834389140271493,0.750780179177138,0.792777300085985
"2",5,0.953092129710672,0.876216299104276,0.872518610421836,0.867707854846119,0.882521489971347,0.818061088977424,0.725322758554894,0.762376237623762
"3",6,0.950342404902517,0.883969458798815,0.87468982630273,0.872301332108406,0.879656160458453,0.820124666073019,0.728574121100722,0.76814011676397
