"Bore","Latitude","Longitude","Total_Dept","Elevation","Aspect","Curvature","Drainage_density","Distance_from_stream","Lithology","Plan_curvature","Profile_curvature","Slope_degree","Sy","TRI","SPI1","STI1","TWI1","response6","response4"
3144,24.24705,89.16921,60.957025,14,-1,0,0.0772914,882.836,5,0,0,0,0.030226,0,6.11396698277187,51.3912880134845,4.84936714650013,"2","1"
3145,24.39161,89.25581,56.690034,17,240.945,0.43263,0.13721,3725.92,6,0.319065,-0.113565,2.42357,0.0292181,11.3137,5.6235703040193,43.2997319191188,3.9633162998157,"2","2"
3146,24.25112,88.99242,295.64,17,165.964,0.108158,0.0661422,2125.14,6,0.086526,-0.0216315,1.94155,0.033059,13.2288,5.6235703040193,43.2997319191188,3.9633162998157,"2","2"
3147,24.19945,88.90767,213.96,17,315,0,0.0538675,2995.5,6,0,0,0.333097,0.0396916,10.247,6.31671748457924,65.6301209952675,4.65646348037564,"2","2"
3148,24.17931,89.046,65,16,135,-0.216315,0.0999957,5224.57,6,-0.0811181,0.135197,0.999202,0.032414,11.6619,7.63924452481637,139.725251734189,6.10301703301373,"2","2"
3149,24.16795,88.96617,65,14,116.565,0.216315,0.074514,3313.06,4,0.108158,-0.108158,1.05324,0.0333526,10.9545,5.42081980221192,33.9056055393005,4.15621996594019,"2","2"
3150,24.43874,89.00849,63,23,261.87,-0.108158,0.111482,700.357,6,0,0.108158,4.98391,0.033708,21.4476,6.64348377886208,95.4841875062454,4.35570932635651,"2","2"
3151,24.49578,89.1469,60.957025,13,329.036,0.108158,0.168621,695.845,6,0.0648945,-0.043263,1.37315,0.0332532,8.66025,5.34442088013583,30.8689560169487,4.2297825331172,"1","2"
3152,24.49665,89.14639,305.39,13,270,0.216315,0.168349,771.298,6,0.216315,0,0.942067,0.0329295,9,5.34442088013583,30.8689560169487,4.2297825331172,"1","2"
3153,24.81414,88.23827,45.72,24,225,0,0.0423019,84.8528,6,0,0,0.666172,0.026518,10,6.6910645023304,100.574887166242,4.31333010338765,"2","2"
3154,24.85304,88.28042,60.96,24,213.69,0.108158,0.0413293,3704.73,6,0.086526,-0.0216315,1.69799,0.0260626,14.1421,5.99791732177046,66.3546796204735,3.6201829228277,"2","2"
3155,24.81808,88.33111,290.16,27,90,-0.108158,0.0447027,5313.05,3,0,0.108158,2.35405,0.0219919,16.5831,6.13242852359239,76.4974219691115,3.50286103543866,"2","2"
3156,24.76983,88.40903,60.96,45,270,-0.43263,0.0189299,8821.84,3,-0.216315,0.216315,1.88363,0.019072,23.7487,8.7517955779724,436.444712766352,4.93942266587099,"2","2"
3157,24.72691,88.46432,60.96,35,344.055,0.324473,0.00926871,15133.4,3,0.11452,-0.209953,3.4254,0.0197333,20.199,6.44972858957626,103.545111406739,3.24419363285249,"2","2"
3158,24.6708,88.49583,60.96,37,45,0.216315,0.0281224,10011.4,3,0.135197,-0.0811181,2.33042,0.0190583,20.4939,6.52306975318576,110.195396978112,3.18877779371092,"2","2"
3159,24.6142,88.23286,53.34,28,26.5651,-0.108158,0.0903188,1788.46,6,-0.129789,-0.0216315,2.10577,0.0212102,19.975,6.86808937841618,121.09205880587,4.15977236754456,"2","2"
